2026-08-04 17:51:02,097 | INFO | 127.0.0.1 | GET /docs | 200 | 1.00 ms
2026-08-04 17:51:02,197 | INFO | 127.0.0.1 | GET /openapi.json | 200 | 27.43 ms
2026-08-04 17:51:46,295 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 81.51 ms
2026-08-04 17:51:46,306 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 6.47 ms
2026-08-04 17:51:46,314 | INFO | 127.0.0.1 | GET /match-history | 200 | 97.52 ms
2026-08-04 17:51:46,331 | INFO | 127.0.0.1 | GET /match-history | 200 | 14.26 ms
2026-08-04 17:51:59,647 | INFO | 127.0.0.1 | OPTIONS /players | 200 | 0.38 ms
2026-08-04 17:51:59,657 | INFO | 127.0.0.1 | POST /players | 200 | 7.17 ms
2026-08-04 17:51:59,667 | INFO | 127.0.0.1 | POST /players | 200 | 2.97 ms
2026-08-04 17:51:59,685 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 6.18 ms
2026-08-04 17:51:59,707 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 11.11 ms
2026-08-04 17:51:59,712 | INFO | 127.0.0.1 | GET /match-history | 200 | 31.83 ms
2026-08-04 17:51:59,733 | INFO | 127.0.0.1 | GET /match-history | 200 | 19.34 ms
2026-08-04 17:52:06,589 | INFO | 127.0.0.1 | OPTIONS /games | 200 | 0.23 ms
2026-08-04 17:52:06,614 | INFO | 127.0.0.1 | POST /games | 200 | 22.90 ms
2026-08-04 17:52:07,911 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 9.76 ms
2026-08-04 17:52:07,928 | INFO | 127.0.0.1 | GET /match-history | 200 | 26.42 ms
2026-08-04 17:52:11,882 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 5.51 ms
2026-08-04 17:52:11,893 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 5.43 ms
2026-08-04 17:52:11,909 | INFO | 127.0.0.1 | GET /match-history | 200 | 32.00 ms
2026-08-04 17:52:11,946 | INFO | 127.0.0.1 | GET /match-history | 200 | 34.60 ms
2026-08-10 11:04:29,323 | INFO | 127.0.0.1 | GET / | 200 | 7.71 ms
2026-08-10 11:04:31,908 | INFO | 127.0.0.1 | GET /docs | 200 | 0.67 ms
2026-08-10 11:04:32,289 | INFO | 127.0.0.1 | GET /openapi.json | 200 | 69.62 ms
2026-08-10 11:04:48,607 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 187.51 ms
2026-08-10 11:04:48,627 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 10.38 ms
2026-08-10 11:04:48,644 | INFO | 127.0.0.1 | GET /match-history | 200 | 229.57 ms
2026-08-10 11:04:48,716 | INFO | 127.0.0.1 | GET /match-history | 200 | 52.53 ms
2026-08-10 11:05:54,062 | INFO | 127.0.0.1 | OPTIONS /players | 200 | 0.51 ms
2026-08-10 11:05:54,108 | INFO | 127.0.0.1 | POST /players | 200 | 41.54 ms
2026-08-10 11:05:54,133 | INFO | 127.0.0.1 | POST /players | 200 | 17.61 ms
2026-08-10 11:05:54,168 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 12.92 ms
2026-08-10 11:05:54,214 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 24.06 ms
2026-08-10 11:05:54,222 | INFO | 127.0.0.1 | GET /match-history | 200 | 64.83 ms
2026-08-10 11:05:54,264 | INFO | 127.0.0.1 | GET /match-history | 200 | 37.45 ms
2026-08-10 11:05:59,163 | INFO | 127.0.0.1 | OPTIONS /games | 200 | 0.37 ms
2026-08-10 11:05:59,205 | INFO | 127.0.0.1 | POST /games | 200 | 39.67 ms
2026-08-10 11:06:00,698 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 19.38 ms
2026-08-10 11:06:00,738 | INFO | 127.0.0.1 | GET /match-history | 200 | 57.70 ms
2026-08-10 11:06:04,697 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 17.81 ms
2026-08-10 11:06:04,737 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 28.93 ms
